Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
22429,evangelicalism,http://id.loc.gov/authorities/subjects/sh85045933,,http://id.worldcat.org/fast/917002,,,https://www.wikidata.org/entity/Q194253,closeMatch
22433,Families -- dynasties,,,,,,https://www.wikidata.org/entity/Q164950,
22439,Fatherhood,,,http://id.worldcat.org/fast/921848,,,,
22486,fraternities,,,http://id.worldcat.org/fast/1110663,closeMatch,,https://www.wikidata.org/entity/Q996839,
22498,"George III, king of England",http://id.loc.gov/authorities/names/n79061402,,,,https://viaf.org/viaf/49264990,https://www.wikidata.org/entity/Q20421349,
22499,"Gerry, Elbridge",http://id.loc.gov/authorities/names/n50017112,,http://id.worldcat.org/fast/5401,,https://viaf.org/viaf/1254054,https://www.wikidata.org/entity/Q219797,
22530,Harrington -- James,http://id.loc.gov/authorities/names/n50027747,,http://id.worldcat.org/fast/9180,,https://viaf.org/viaf/59159677,https://www.wikidata.org/entity/Q969183,
22563,"Jay, John",http://id.loc.gov/authorities/names/n79088877,,http://id.worldcat.org/fast/40483,,https://viaf.org/viaf/49254995,https://www.wikidata.org/entity/Q310847,
22589,"Kent, James",http://id.loc.gov/authorities/names/n50044749,,http://id.worldcat.org/fast/15416,,https://viaf.org/viaf/44362258,https://www.wikidata.org/entity/Q725292,
22597,"Laurens, Henry",http://id.loc.gov/authorities/names/n79065949,,http://id.worldcat.org/fast/37658,,https://viaf.org/viaf/46788468,https://www.wikidata.org/entity/Q1606981,
22609,Leadership -- and symbolic politics,,,,,,,
22617,"Lewis, Jan",http://id.loc.gov/authorities/names/n83055969,,,,https://viaf.org/viaf/12328027,,
22619,Libertines,http://id.loc.gov/authorities/subjects/sh85076476,,http://id.worldcat.org/fast/997243,,,https://www.wikidata.org/entity/Q744443,
22623,"Lifton, Robert Jay",http://id.loc.gov/authorities/names/n79058564,,http://id.worldcat.org/fast/36138,,https://viaf.org/viaf/85885371,https://www.wikidata.org/entity/Q711066,
22629,"Machiavelli, Niccolo",http://id.loc.gov/authorities/names/n78096105,,http://id.worldcat.org/fast/29240,,https://viaf.org/viaf/95151646,https://www.wikidata.org/entity/Q1399,
22643,Males -- disorderly,,,,,,,
22644,Males -- order in the ranks of,,,,,,,
22649,Manhood -- the better sort,,,,,,,
22653,Manhood -- consensual norms of,,,,,,,
22659,Manhood -- and immortality,,,,,,,
22668,Manhood -- and procreation,,,,,,,
22692,"Mason, George",http://id.loc.gov/authorities/names/n79127872,,http://id.worldcat.org/fast/45278,,https://viaf.org/viaf/25425792,https://www.wikidata.org/entity/Q532329,
22699,"Mayhew, Jonathan",http://id.loc.gov/authorities/names/n50007321,,http://id.worldcat.org/fast/1999,,https://viaf.org/viaf/42275200,https://www.wikidata.org/entity/Q6273860,
22701,"McDonald, Forrest",http://id.loc.gov/authorities/names/n79034950,,http://id.worldcat.org/fast/33171,,https://viaf.org/viaf/34485576,https://www.wikidata.org/entity/Q5470488,
22707,miscegenation,http://id.loc.gov/authorities/subjects/sh85085975,,http://id.worldcat.org/fast/1023613,,,https://www.wikidata.org/entity/Q2090033,
